alert_id,cwe
10020-1,CWE-1021
10020-2,CWE-1021
10020-3,CWE-1021
10020-4,CWE-1021
90022,CWE-550
10044-1,CWE-201
10044-2,CWE-201
10015,CWE-525
90011-1,CWE-436
90011-2,CWE-436
90011-3,CWE-436
90011-4,CWE-436
10038-1,CWE-693
10038-2,CWE-693
10038-3,CWE-693
10019-1,CWE-345
10019-2,CWE-345
10010,CWE-1004
90033,CWE-565
10029,CWE-565
10011,CWE-614
10054-1,CWE-1275
10054-2,CWE-1275
10054-3,CWE-1275
10017,CWE-829
10098,CWE-264
10055-1,CWE-693
10055-2,CWE-693
10055-3,CWE-693
10055-4,CWE-693
10055-5,CWE-693
10055-6,CWE-693
10055-7,CWE-693
10055-8,CWE-693
10055-9,CWE-693
10055-10,CWE-693
10055-11,CWE-693
10055-12,CWE-693
10055-13,CWE-693
10202,CWE-352
10033,CWE-548
10097,CWE-497
10034,CWE-119
10036-1,CWE-497
10036-2,CWE-497
10041,CWE-319
10042,CWE-319
10023,CWE-1295
10024,CWE-598
10025,CWE-598
10027,CWE-615
10105-1,CWE-287
10105-2,CWE-326
90001,CWE-642
10040,CWE-311
10109,0
10028,CWE-601
10062,CWE-359
2,CWE-497
10050-1,CWE-525
10050-2,CWE-525
10108,CWE-1022
10115-1,CWE-829
10115-2,CWE-829
10037,CWE-497
3-1,CWE-598
3-2,CWE-598
3-3,CWE-598
10035-1,CWE-319
10035-2,CWE-319
10035-3,CWE-319
10035-4,CWE-319
10035-5,CWE-319
10035-6,CWE-319
10035-7,CWE-319
10035-8,CWE-319
10096,CWE-497
10030,CWE-20
10031,CWE-20
10043,CWE-20
10057,CWE-284
10032-1,CWE-642
10032-2,CWE-642
10032-3,CWE-642
10032-4,CWE-642
10032-5,CWE-642
10032-6,CWE-642
10061,CWE-933
10039,CWE-497
10052,CWE-532
10021,CWE-693
10056,CWE-489
10116,CWE-1104
40034,CWE-215
40032,CWE-94
30001,CWE-120
90034,CWE-1230
90019-1,CWE-94
90019-2,CWE-94
90020,CWE-78
90037,CWE-78
40012,CWE-79
40014,CWE-79
40003,CWE-113
0,CWE-548
40028,CWE-94
20019-1,CWE-601
20019-2,CWE-601
20019-3,CWE-601
20019-4,CWE-601
30002,CWE-134
10058,CWE-16
20015,CWE-119
40035,CWE-538
40043-1,CWE-117
40043-2,CWE-117
90024,CWE-209
40008,CWE-472
6-1,CWE-22
6-2,CWE-22
6-3,CWE-22
6-4,CWE-22
6-5,CWE-22
20018,CWE-20
7,CWE-98
40009,CWE-97
90035,CWE-1336
90036,CWE-1336
20017,CWE-20
10045-1,CWE-541
10045-2,CWE-541
40045,CWE-78
40042,CWE-215
40018,CWE-89
40020,CWE-89
40027,CWE-89
40019,CWE-89
40021,CWE-89
40022,CWE-89
40024,CWE-89
40029,CWE-215
10104,0
90021,CWE-643
90017,CWE-91
90023,CWE-611
